Date,Description,Account,Amount,Reference
2026-03-01,Domain registration,5200-IT,45.00,REF-301
2026-03-02,Client project fee,1000-CASH,-2500.00,REF-302
2026-03-03,Coworking desk,5100-OFFICE,350.00,REF-303
2026-03-04,Marketing ads,5500-MARKETING,600.00,REF-304
2026-03-05,Travel booking,5600-TRAVEL,475.00,REF-305
2026-03-07,Client retainer,1000-CASH,-3500.00,REF-306
2026-03-09,Cloud storage,5200-IT,1120.00,REF-307
2026-03-10,Office snacks,5100-OFFICE,85.00,REF-308
2026-03-11,Conference sponsorship,5500-MARKETING,1200.00,REF-309
2026-03-12,Hotel stay,5600-TRAVEL,725.00,REF-310
2026-03-13,Consulting revenue,1000-CASH,-4200.00,REF-311
2026-03-15,SaaS licenses,5200-IT,1380.00,REF-312
2026-03-17,Printing,5100-OFFICE,125.00,REF-313
2026-03-18,Social ads,5500-MARKETING,1550.00,REF-314
2026-03-19,Flight booking,5600-TRAVEL,1890.00,REF-315
2026-03-20,Partner retainer,1000-CASH,-1800.00,REF-316
2026-03-22,Dev tools subscription,5200-IT,595.00,REF-317
2026-03-24,Event banners,5500-MARKETING,1210.00,REF-318
2026-03-26,Ground transport,5600-TRAVEL,2160.00,REF-319
2026-03-28,Client milestone payment,1000-CASH,-1560.00,REF-320
